time,open,high,low,close,volume
2004-06-13,384.0,384.8,382.8,384.1,303
2004-06-20,384.3,395.8,381.1,394.3,10016
2004-06-27,394.3,402.8,392.1,401.1,8921
2004-07-04,401.8,404.6,390.3,397.8,10008
2004-07-11,397.8,408.6,388.5,407.1,3833
2004-07-18,407.3,408.3,399.6,406.1,6658
2004-07-25,405.5,407.5,386.5,389.3,8643
2004-08-01,389.3,393.1,384.5,390.5,13925
2004-08-08,390.3,400.3,388.1,398.8,12322
2004-08-15,399.1,400.6,391.8,398.1,9443
2004-08-22,398.3,413.8,397.6,412.2,7422
2004-08-29,411.8,411.8,400.8,402.3,14085
2004-09-05,402.3,410.8,398.6,399.8,7450
2004-09-12,400.6,402.3,394.3,402.3,10645
2004-09-19,401.1,406.6,398.1,405.0,14050
2004-09-26,404.8,411.6,402.8,407.1,11321
2004-10-03,407.3,419.3,406.6,419.0,13935
2004-10-10,418.3,423.3,411.3,422.3,7816
2004-10-17,422.5,422.6,409.1,418.3,7133
2004-10-24,418.1,425.8,414.3,423.7,7217
2004-10-31,426.0,430.2,420.3,428.1,7772
2004-11-07,429.6,433.6,416.8,433.1,7486
2004-11-14,433.6,438.5,430.7,437.3,7021
2004-11-21,438.3,447.8,434.8,446.6,8855
2004-11-28,446.3,454.8,445.5,451.3,3725
2004-12-05,451.3,456.3,446.6,448.3,5468
2004-12-12,455.1,455.8,431.5,433.7,10746
2004-12-19,434.3,442.3,434.1,441.0,6365
2004-12-26,441.3,443.6,438.3,441.8,3166
2005-01-02,442.6,445.1,433.1,437.5,4121
2005-01-09,437.1,437.3,416.5,418.6,7168
2005-01-16,419.1,427.3,418.3,422.6,9117
2005-01-23,421.8,427.8,419.6,426.7,6906
2005-01-30,426.5,427.6,420.3,426.5,8874
2005-02-06,425.5,425.5,413.3,414.2,9530
2005-02-13,413.8,421.6,409.8,420.3,9945
2005-02-20,420.5,428.1,420.5,426.8,10514
2005-02-27,430.1,436.3,429.8,434.8,8425
2005-03-06,434.6,437.7,428.3,433.8,9628
2005-03-13,433.8,446.6,431.8,444.3,5666
2005-03-20,444.8,444.8,435.5,438.8,4953
2005-03-27,439.2,439.2,423.5,423.8,5270
2005-04-03,424.3,428.5,423.1,425.1,6578
2005-04-10,425.1,428.0,421.8,426.1,7789
2005-04-17,425.8,429.6,421.7,423.8,8567
2005-04-24,424.0,435.2,422.8,433.7,7669
2005-05-01,433.7,437.2,429.8,434.0,8274
2005-05-08,433.8,434.1,423.2,425.3,8728
2005-05-15,425.3,428.0,418.2,419.3,11064
2005-05-22,419.8,422.8,416.3,417.1,8051
2005-05-29,417.2,419.8,415.3,419.6,7107
2005-06-05,417.1,424.3,413.3,421.8,3350
2005-06-12,422.3,427.8,420.6,426.6,4135
2005-06-19,425.8,438.8,423.5,437.1,4361
2005-06-26,437.0,443.2,433.6,439.3,4192
2005-07-03,439.3,439.8,426.3,426.8,3759
2005-07-10,427.2,428.3,421.3,422.6,2949
2005-07-17,423.3,427.3,417.8,421.1,4078
2005-07-24,421.3,426.5,418.5,424.5,3206
2005-07-31,424.7,430.3,421.5,429.3,4110
2005-08-07,429.2,438.8,428.6,436.8,5083
2005-08-14,436.7,449.1,432.6,445.7,4506
2005-08-21,445.7,446.5,435.6,435.8,4509
2005-08-28,436.1,440.3,435.3,437.2,4106
2005-09-04,438.1,446.8,429.0,443.8,4057
2005-09-11,444.2,449.3,442.3,448.3,4468
2005-09-18,449.8,459.8,444.5,459.3,6913
2005-09-25,458.8,475.0,458.2,462.8,6620
2005-10-02,462.2,474.1,457.6,468.8,6181
2005-10-09,467.3,475.6,462.8,474.3,5579
2005-10-16,473.8,480.0,465.3,469.2,6871
2005-10-23,469.0,475.0,459.5,466.3,5897
